3107
8883
12903
13271
15444
15834
18252
20162
31260
89110
129649
133349
155289
159189
183459
202773
23718
23718
40449
40832
47357
238333
238333
406128
409958
475339
Len + 47357; Len -  124952; ratio 2.638511730050468
Epoch 19, Batch 1240 | Acc: 0.8911 | PosAcc: 0.8727 | NegAcc: 0.8983
Epoch 19, Batch 1260 | Acc: 0.8904 | PosAcc: 0.8717 | NegAcc: 0.8977
Epoch 19, Batch 1280 | Acc: 0.8901 | PosAcc: 0.8718 | NegAcc: 0.8973
Epoch 19, Batch 1300 | Acc: 0.8904 | PosAcc: 0.8727 | NegAcc: 0.8973
Epoch 19, Batch 1320 | Acc: 0.8902 | PosAcc: nan | NegAcc: 0.8971
Epoch 19, Batch 1340 | Acc: 0.8901 | PosAcc: 0.8720 | NegAcc: 0.8973
Epoch 19, Batch 1360 | Acc: 0.8903 | PosAcc: 0.8715 | NegAcc: 0.8978
Epoch 19, Batch 1380 | Acc: 0.8909 | PosAcc: 0.8722 | NegAcc: 0.8982
Epoch 19, Batch 1400 | Acc: 0.8909 | PosAcc: 0.8725 | NegAcc: 0.8981
Epoch 19, Batch 1420 | Acc: 0.8910 | PosAcc: 0.8731 | NegAcc: 0.8981
Epoch 19, Batch 1440 | Acc: 0.8908 | PosAcc: 0.8719 | NegAcc: 0.8982
Epoch 19, Batch 1460 | Acc: 0.8913 | PosAcc: 0.8729 | NegAcc: 0.8985
Epoch 19, Batch 1480 | Acc: 0.8914 | PosAcc: 0.8734 | NegAcc: 0.8985
Epoch 19, Batch 1500 | Acc: 0.8918 | PosAcc: 0.8727 | NegAcc: 0.8994
Epoch 19, Batch 1520 | Acc: 0.8921 | PosAcc: 0.8733 | NegAcc: 0.8995
Epoch 19, Batch 1540 | Acc: 0.8922 | PosAcc: 0.8736 | NegAcc: 0.8995
Epoch 19, Batch 1560 | Acc: 0.8920 | PosAcc: 0.8733 | NegAcc: 0.8993
Epoch 19, Batch 1580 | Acc: 0.8922 | PosAcc: 0.8738 | NegAcc: 0.8995
Epoch 19, Batch 1600 | Acc: 0.8926 | PosAcc: 0.8740 | NegAcc: 0.8999
Epoch 19, Batch 1620 | Acc: 0.8924 | PosAcc: 0.8728 | NegAcc: 0.9001
Epoch 19, Batch 1640 | Acc: 0.8924 | PosAcc: 0.8726 | NegAcc: 0.9002
Epoch 19, Batch 1660 | Acc: 0.8923 | PosAcc: 0.8721 | NegAcc: 0.9003
Epoch 19, Batch 1680 | Acc: 0.8922 | PosAcc: 0.8712 | NegAcc: 0.9005
Epoch 19, Batch 1700 | Acc: 0.8924 | PosAcc: 0.8713 | NegAcc: 0.9007
Epoch 19, Batch 1720 | Acc: 0.8924 | PosAcc: 0.8704 | NegAcc: 0.9011
Epoch 19, Batch 1740 | Acc: 0.8929 | PosAcc: nan | NegAcc: 0.9015
Epoch 19, Batch 1760 | Acc: 0.8933 | PosAcc: nan | NegAcc: 0.9018
Epoch 19, Batch 1780 | Acc: 0.8935 | PosAcc: 0.8713 | NegAcc: 0.9024
Epoch 19, Batch 1800 | Acc: 0.8933 | PosAcc: nan | NegAcc: 0.9024
Epoch 19, Batch 1820 | Acc: 0.8931 | PosAcc: 0.8711 | NegAcc: 0.9019
Epoch 19, Batch 1840 | Acc: 0.8934 | PosAcc: 0.8711 | NegAcc: 0.9023
Epoch 19, Batch 1860 | Acc: 0.8936 | PosAcc: 0.8714 | NegAcc: 0.9025
Epoch 19, Batch 1880 | Acc: 0.8931 | PosAcc: 0.8709 | NegAcc: 0.9020
Epoch 19, Batch 1900 | Acc: 0.8928 | PosAcc: 0.8696 | NegAcc: 0.9020
Epoch 19, Batch 1920 | Acc: 0.8928 | PosAcc: 0.8695 | NegAcc: 0.9020
Epoch 19, Batch 1940 | Acc: 0.8927 | PosAcc: 0.8695 | NegAcc: 0.9019
Epoch 19, Batch 1960 | Acc: 0.8932 | PosAcc: 0.8696 | NegAcc: 0.9026
Epoch 19, Batch 1980 | Acc: 0.8929 | PosAcc: 0.8698 | NegAcc: 0.9021
Epoch 19, Batch 2000 | Acc: 0.8927 | PosAcc: 0.8693 | NegAcc: 0.9020
Epoch 19, Batch 2020 | Acc: 0.8928 | PosAcc: 0.8703 | NegAcc: 0.9018
Epoch 19, Batch 2040 | Acc: 0.8932 | PosAcc: 0.8706 | NegAcc: 0.9022
Epoch 19, Batch 2060 | Acc: 0.8936 | PosAcc: 0.8713 | NegAcc: 0.9024
Epoch 19, Batch 2080 | Acc: 0.8933 | PosAcc: nan | NegAcc: 0.9022
Epoch 19, Batch 2100 | Acc: 0.8932 | PosAcc: 0.8707 | NegAcc: 0.9022
Epoch 19, Batch 2120 | Acc: 0.8933 | PosAcc: 0.8709 | NegAcc: 0.9023
Epoch 19, Batch 2140 | Acc: 0.8938 | PosAcc: 0.8711 | NegAcc: 0.9028
Epoch 19, Batch 2160 | Acc: 0.8938 | PosAcc: 0.8716 | NegAcc: 0.9026
Epoch 19, Batch 2180 | Acc: 0.8936 | PosAcc: 0.8710 | NegAcc: 0.9026
Epoch 19, Batch 2200 | Acc: 0.8935 | PosAcc: 0.8708 | NegAcc: 0.9026
Epoch 19, Batch 2220 | Acc: 0.8939 | PosAcc: 0.8712 | NegAcc: 0.9029
Epoch 19, Batch 2240 | Acc: 0.8938 | PosAcc: 0.8703 | NegAcc: 0.9032
Epoch 19, Batch 2260 | Acc: 0.8939 | PosAcc: 0.8706 | NegAcc: 0.9031
Epoch 19, Batch 2280 | Acc: 0.8942 | PosAcc: 0.8712 | NegAcc: 0.9034
Epoch 19, Batch 2300 | Acc: 0.8946 | PosAcc: 0.8715 | NegAcc: 0.9037
Epoch 19, Batch 2320 | Acc: 0.8947 | PosAcc: 0.8715 | NegAcc: 0.9039
Epoch 19, Batch 2340 | Acc: 0.8946 | PosAcc: 0.8712 | NegAcc: 0.9040
Epoch 19, Batch 2360 | Acc: 0.8947 | PosAcc: 0.8712 | NegAcc: 0.9040
Epoch 19, Batch 2380 | Acc: 0.8945 | PosAcc: 0.8708 | NegAcc: 0.9040
Epoch 19, Batch 2400 | Acc: 0.8947 | PosAcc: 0.8710 | NegAcc: 0.9043
Epoch 19, Batch 2420 | Acc: 0.8951 | PosAcc: 0.8717 | NegAcc: 0.9044
Epoch 19, Batch 2440 | Acc: 0.8953 | PosAcc: 0.8716 | NegAcc: 0.9047
Epoch 19, Batch 2460 | Acc: 0.8950 | PosAcc: 0.8707 | NegAcc: 0.9047
Epoch 19, Batch 2480 | Acc: 0.8950 | PosAcc: 0.8708 | NegAcc: 0.9046
Epoch 19, Batch 2500 | Acc: 0.8948 | PosAcc: 0.8707 | NegAcc: 0.9044
Epoch 19, Batch 2520 | Acc: 0.8949 | PosAcc: 0.8705 | NegAcc: 0.9047
